X1 X2 X3 X4 X5 X6 X7 X8 X9 y
.03 .006 3.0 1 70 1.5 .25 1.75 2.0 46
.03 .006 3.0 1 70 1.5 .25 2.25 3.7 28
.03 .006 3.0 1 70 1.5 .25 4.00 4.2 54
.03 .021 3.0 1 80 1.0 .25 1.60 1.5 70
.03 .021 3.0 1 80 1.0 .25 3.10 4.0 47
.03 .021 3.0 1 80 1.0 .25 3.60 2.4 112
.13 .005 6.5 2 65 2.0 .35 1.25 .7 398
.13 .005 6.5 2 65 2.0 .35 2.30 3.5 98
.13 .005 6.5 2 65 2.0 .35 4.25 4.0 191
.13 .008 6.5 2 68 .5 .15 1.45 2.0 171
.13 .008 6.5 2 68 .5 .15 2.60 4.0 150
.13 .008 6.5 2 68 .5 .15 3.90 3.0 331
1.00 .023 15.0 10 60 1.0 .20 .75 1.0 772
1.00 .023 15.0 10 60 1.0 .20 1.75 1.5 1268
1.00 .023 15.0 10 60 1.0 .20 3.25 4.0 849
1.00 .023 15.0 10 65 2.0 .20 1.80 1.0 2294
1.00 .023 15.0 10 65 2.0 .20 3.10 2.0 1984
1.00 .023 15.0 10 65 2.0 .20 4.75 6.0 900
3.00 .039 7.0 15 67 .5 .50 1.75 2.0 2181
3.00 .039 7.0 15 67 .5 .50 3.25 4.0 2484
3.00 .039 7.0 15 67 .5 .50 5.00 6.5 2450
5.00 .109 6.0 15 62 1.5 .60 1.50 1.5 1794
5.00 .109 6.0 15 62 1.5 .60 2.75 3.0 2067
5.00 .109 6.0 15 62 1.5 .60 4.20 5.0 2586
7.00 .055 6.5 19 56 2.0 .50 1.80 2.0 2410
7.00 .055 6.5 19 56 2.0 .50 3.25 4.0 1808
7.00 .055 6.5 19 56 2.0 .50 5.25 6.0 3024
7.00 .063 6.5 19 56 1.0 .50 1.25 2.0 710
7.00 .063 6.5 19 56 1.0 .50 2.90 3.4 3181
7.00 .063 6.5 19 56 1.0 .50 4.76 5.0 4279
