y	x1	x2	x3	x4
0.00045	0.0105	90.9	0.0164	0.0177
0.00045	0.011	84.6	0.0165	0.0172
0.000473	0.0106	88.9	0.0164	0.0157
0.000507	0.0116	488.7	0.0187	0.0082
0.000457	0.0121	454.4	0.0187	0.007
0.000452	0.0123	439.2	0.0187	0.0065
0.000453	0.0122	447.1	0.0186	0.0071
0.000426	0.0122	451.6	0.0187	0.0062
0.001215	0.0123	487.8	0.0192	0.0153
0.001256	0.0122	467.6	0.0192	0.0129
0.001145	0.0094	95.4	0.0163	0.0354
0.001085	0.01	87.1	0.0162	0.0342
0.001066	0.0101	82.7	0.0162	0.0323
0.001111	0.0099	87	0.0163	0.0337
0.001364	0.011	516.4	0.019	0.0161
0.001254	0.0117	488.4	0.0189	0.0149
0.001396	0.011	534.5	0.0189	0.0163
0.001575	0.0104	542.3	0.0189	0.0164
0.001615	0.0067	98.8	0.0163	0.0379
0.001733	0.0066	84.8	0.0162	0.036
0.002753	0.0044	69.6	0.0163	0.0327
0.003186	0.0073	436.9	0.0189	0.0263
0.003227	0.0078	406.3	0.0192	0.02
0.003469	0.0067	447.9	0.0192	0.0197
0.001911	0.0091	58.5	0.0164	0.0331
0.002588	0.0079	394.3	0.0177	0.0674
0.002635	0.0068	461	0.0174	0.077
0.002725	0.0065	469.2	0.0173	0.078
