country,confirmed,confirmed.double,population,land_area_skm,pop_density,pop_largest_city,life_expectancy,gdp_capita
Albania,663,19,2866376,27400,104.6122628,475577,78.458,5079.40112
Andorra,723,24,77006,470,163.8425532,NA,NA,44569.78301
Armenia,1523,19,2951776,28470,103.6802248,1080324,74.945,4406.706434
Austria,15002,27,8840521,82522.99805,107.2069267,1900547,81.64390244,50019.87021
Azerbaijan,1548,15,9939800,82670,120.2653199,2285729,72.864,5768.992405
Belgium,42797,17,11433256,30280,377.2149273,2049510,81.59512195,47166.48436
Bulgaria,1097,17,7025037,108560,64.70353721,1272418,74.86585366,8651.094801
Bosnia and Herzegovina,1413,17,3323929,51200,64.92048828,342577,77.262,6032.246199
Belarus,8022,7,9483499,202988.0078,46.7287999,2004672,74.17560976,6744.49867
Switzerland,28496,26,8513227,39516.00098,215.5213784,1370779,83.55121951,79214.35479
Cyprus,795,20,1189265,9240,128.7083333,NA,80.828,31507.98697
Czechia,7187,22,10629928,77220,137.6028879,1291552,78.97804878,23358.87295
Germany,153129,22,82905782,349360,237.3709698,3552123,80.99268293,47477.83815
Denmark,8271,19,5793636,41990,138.0673017,1320826,81.35121951,63873.46401
Spain,213024,22,46796540,499563.9844,93.52905826,6497124,83.33414634,32949.58198
Estonia,1592,22,1321977,43470,30.38610536,437027,78.54390244,19954.13011
Finland,4284,17,5515525,303910,18.15685565,1279096,81.83414634,48749.08311
France,158303,16,66977107,547556.9922,122.3383957,10900952,82.52682927,43663.58492
United Kingdom,139246,14,66460344,241930,274.8273922,9046485,81.35609756,43324.59297
Georgia,425,15,3726549,69490,65.27520207,1077333,73.6,4721.302887
Greece,2463,24,10731726,128900,83.22473235,3155600,81.28780488,23558.08397
Croatia,1981,21,4087843,55960,73.077198,685587,78.07073171,15889.60391
Hungary,2284,13,9775564,90530,107.9066055,1759497,75.81707317,16647.7472
Ireland,17607,12,4867309,68890,70.45298302,1201426,82.60731707,76880.8077
Iceland,1789,27,352721,100250,3.526922693,NA,82.66097561,52103.1703
Italy,189973,26,60421760,294140,205.4507479,4209710,82.94634146,35431.85655
Kazakhstan,2289,10,18272430,2699700,6.769825907,1829005,73.15,11165.54436
Kyrgyzstan,631,13,6322800,191800,32.92909281,996319,71.4,1087.204062
Liechtenstein,81,33,37910,160,236.9375,NA,83.74634146,141200.38
Lithuania,1398,20,2801543,62642.00195,44.53135138,536055,76.2902439,17708.52804
Luxembourg,3665,26,607950,2430,250.0938272,NA,82.09512195,110742.316
Latvia,778,23,1927174,62180,30.98330653,637089,74.67804878,16268.95322
Monaco,94,25,38682,2,19196,NA,NA,195879.6374
Moldova,2926,13,2706049,32890,123.5198035,509707,71.808,2668.657692
North Macedonia,1300,14,2082958,25220,82.59151467,584208,75.688,5394.288478
Montenegro,316,21,622227,13450,46.27100372,NA,76.77,8244.127509
Netherlands,35921,18,17231624,33690,511.4579104,1131690,81.76097561,55022.9182
Norway,7401,27,5311916,365123.0078,14.55491954,1012225,82.81219512,92077.57431
Poland,10511,15,37974750,306190,124.0358862,1767798,77.75365854,16659.33211
Portugal,22353,18,10283822,91605.5957,112.2394535,2927316,81.72439024,23994.66243
Romania,10096,14,19466145,230080,84.63984701,1821380,75.4097561,11532.06349
Russia,62773,6,144478050,16376870,8.822079555,12409738,72.65731707,11729.0891
San Marino,501,21,33785,60,563.0833333,NA,85.41707317,53337.58787
Serbia,6630,12,6982604,87460,79.83174022,1389351,75.53902439,6886.500348
Slovakia,1325,15,5446771,48080,113.2905782,429920,77.16585366,20599.14684
Slovenia,1366,26,2073894,20141.99951,102.6398595,NA,81.02926829,26768.39264
Sweden,16755,15,10175214,407310,25.00104343,1582968,82.51219512,57921.37928
Turkey,101790,12,82319724,769630,106.9601289,14750771,77.437,15068.98238
Ukraine,7170,8,44622516,579290,77.02966735,2956706,71.58268293,3110.194646
Uzbekistan,1758,11,32955400,425400,77.46920545,2463969,71.573,2366.2852
