"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"1",1,33188.26277,45900,93276,0.726794819,1.476961079,136104.2249,752.318301,14973.07806,21810.94976,89314.07642,2761.469426,0.00000001,0.00000001,3362.216399,154591.0907,1944.729924,0.000145439,7.192767714,265716.1169,151829.621274,0.75016626,2
"2",2,46560.22331,74601,124245,0.634038756,1.055966344,131075.74,40837.04123,11701.47038,80638.18701,402017.0477,3566.152772,0.00000001,0.00000001,5969.390862,187180.4044,2265.456087,0.000376643,8.315569875,669835.6391,183614.251628,0.421927588,3
"3",3,61890.47688,149139,200844,1.631860557,2.197610294,143424.9154,85445.60121,3132.037748,29723.21382,286310.1984,0.00000001,0.00000001,0.00000001,7007.746192,232002.5543,2035.883225,0.000707833,7.457151,548035.9665,232002.55429999,0.565749737,3
"4",4,33947.04758,29331,69975,0.417981275,0.997178402,138885.5206,5004.718189,0.00000001,20476.96342,57593.623,0.00000001,0.00000001,0.00000001,2291.819806,143890.2387,2037.960668,0.0000534,10.263639,221960.8252,143890.23869999,0.579197127,2
"5",5,28524.49146,20934,39852,0.259443783,0.493902439,118507.7109,0.00000001,0.00000001,11276.44397,214153.6482,36010.0414,0.00000001,0.00000001,3592.817672,154517.7523,2049.734668,0.0000229,6.160038333,379947.8445,118507.7109,0.234458656,1
"6",6,30294.76431,60822,110664,0.816621912,1.485821697,150784.9889,0.00000001,0.00000001,78816.9327,120849.3829,807.067466,0.00000001,0.00000001,3614.980907,151592.0563,3519.84298,0.000412234,7.5828175,351258.3719,150784.988834,0.669199785,2
"7",7,31686.39473,67356,135171,0.910782378,1.827771317,152384.6291,0.00000001,5764.500767,41822.8765,78679.72668,0.00000001,0.00000001,0.00000001,3217.696981,158149.1299,2678.42692,0.000374918,8.5788855,278651.7331,158149.12989999,0.916988939,2
"8",8,28997.59871,107505,162963,0.894287639,1.355618777,156726.7475,40414.5489,9581.166898,15514.94495,184673.2275,4519.294297,0.00000001,0.00000001,5039.065473,211241.7576,2376.389756,0.000586554,9.4470138,411429.9301,206722.463303,0.461331138,1
"9",9,33716.90155,76329,126135,0.740885619,1.224326371,103657.661,54752.9727,3884.494979,65344.47249,175751.9326,5191.053608,0.00000001,0.00000001,5717.04103,167486.1823,2112.308709,0.00054938,7.063326833,408582.5874,162295.128692,0.483440752,2
"10",10,24656.11528,16605,35469,0.243617958,0.520378521,129282.9286,1529.602772,0.00000001,8720.83163,41844.42052,0.00000001,0.00000001,0.00000001,2143.264252,130812.5314,2066.893342,0.0000255,9.2171142,181377.7835,130812.53139999,0.276760563,1
"11",11,41831.55162,55737,94185,0.391246666,0.66113295,146342.9287,6279.591171,38366.27813,38992.5047,137370.1382,0.00000001,0.00000001,0.00000001,5814.996553,190988.798,2836.63906,0.000356784,3.966303,367351.4408,190988.79799999,0.269886284,3
"12",12,42980.30264,153666,213138,1.0048258,1.393714689,245829.4155,0.00000001,3988.676956,59970.53546,311251.9095,0.00000001,0.00000001,0.00000001,7092.479844,249818.0925,6805.5796,0.000683471,5.62640175,621040.5374,249818.09249999,0.388888889,3
"13",13,40818.02201,59742,132966,0.819911067,1.824851779,185955.3304,0.00000001,0.00000001,11198.31373,39131.06814,0.00000001,0.00000001,0.00000001,2807.178533,185955.3304,2807.178533,0.000144528,5.1680314,236284.7123,185955.33039999,1.004940712,3
"14",14,36635.16116,65592,119727,1.210005903,2.208659238,168409.4057,0.00000001,0.00000001,13257.99267,117014.7284,500.417239,0.00000001,0.00000001,3648.543465,168909.823,3548.141175,0.00038385,7.44054675,299182.544,168409.405761,0.998653335,2
"15",15,31686.11613,17955,43596,0.281580805,0.683697953,131379.7224,0.00000001,0.00000001,6427.823881,101249.1091,1316.289363,0.00000001,0.00000001,2335.774273,132696.0117,2094.896373,0.0000412,6.789803,240372.9448,131379.722337,0.402117148,2
"16",16,32933.67655,27441,58689,0.41830155,0.894635753,134323.8503,0.00000001,0.00000001,1369.131448,19629.03535,0.00000001,0.00000001,0.00000001,2097.137183,134323.8503,2097.137183,0.0000693,6.5600536,155322.0171,134323.85029999,0.476334203,2
"17",17,34224.18213,39789,96246,0.375743668,0.908890022,136956.1815,0.00000001,31113.82885,10410.88441,156362.4183,231.202425,0.00000001,0.00000001,4036.991568,168301.2128,2317.533365,0.000208819,9.1907295,335074.5155,168070.010375,0.533146354,2
"18",18,21786.9316,37143,92934,0.39195264,0.980688869,146414.4926,0.00000001,14487.09898,13989.49351,40594.79502,5698.499659,0.00000001,0.00000001,4100.775374,166600.0912,2537.589326,0.000504999,5.53585625,221184.3797,160901.591541,0.588736229,1
"19",19,26922.41038,41949,74349,0.693899494,1.229844179,137090.1917,0.00000001,0.00000001,9454.288961,49269.64744,4387.740146,0.00000001,0.00000001,3211.027069,141477.9318,2951.893837,0.000438853,6.7373145,200201.8682,137090.191654,0.535944685,1
"20",20,25778.70591,54369,92475,0.477969231,0.812967033,151569.9283,0.00000001,1570.337945,22988.54857,226255.4405,45884.21159,0.00000001,0.00000001,5332.057984,199024.4778,3197.092281,0.000636371,8.212352,448268.4669,153140.26621,0.334997802,1
"21",21,28396.89242,62928,109143,0.549627922,0.953280579,147598.1921,16515.9472,3962.707792,5321.75511,252057.075,1220.924237,0.00000001,0.00000001,3335.625339,169297.7713,2166.9793,0.000385042,6.8180402,426676.6014,168076.847063,0.403652657,1
"22",22,46822.37618,138537,201969,0.853796376,1.244724516,143170.0958,57292.17042,44369.30178,3730.51837,298315.7105,2853.141697,2167.604472,0.00000001,6689.501271,249852.3142,1911.839433,0.000704126,6.139749143,551898.543,246999.172503,0.39092814,3
"23",23,40819.9846,116424,183681,0.66604119,1.050806636,127321.7336,67644.16229,3158.43874,21681.29226,448206.5096,0.00000001,0.00000001,0.00000001,6166.187104,198124.3346,3100.411252,0.00053787,8.1794846,668012.1365,198124.33459999,0.384765446,3
"24",24,43967.57642,63306,127746,0.535991872,1.081584963,145474.085,40142.03726,3334.582637,13311.1596,323639.2351,0.00000001,0.00000001,0.00000001,4086.031826,188950.7049,2174.470312,0.000204087,6.3664996,525901.0996,188950.70489999,0.545593091,3
"25",25,59232.07316,54774,96741,0.293905541,0.519091465,171448.7374,0.00000001,107691.6776,13969.68308,128684.8587,0.00000001,0.00000001,0.00000001,5527.47971,279140.415,2104.105765,0.000079,7.397607333,421794.9568,279140.41499999,0.225185924,3
