"","No","H_P","D1_P","D2_P","W_m_P","W_s_P","W_a_P","L_b_P","L_v_P","W_d_P","W_ia_P","W_r_P","W_L","W_P","W_m_L","S","FE","P","W_c_P","D12_P","H_A_L"
"1",1,0.218588853028268,0.726794819,1.476961079,0.896427349011027,0.00495501664752443,0.0986176342558266,0.14365411424322,0.588251987132464,0.0181879491157822,6.58633006925141e-14,6.58633006925141e-14,3362.216399,1.01818794911578,1944.729924,0.000145439,7.192767714,1.75009405062319,1,0.75016626,2
"2",2,0.253576304111352,0.634038756,1.055966344,0.713864740006989,0.222406707910317,0.0637285519846631,0.439171721666638,2.18946538264623,0.0194219824462481,5.44620034193199e-14,5.44620034193199e-14,5969.390862,1.01942198244625,2265.456087,0.000376643,8.315569875,3.64805908670465,1,0.421927588,3
"3",3,0.266766359821939,1.631860557,2.197610294,0.618204035868265,0.36829595030887,0.013500014072906,0.128115890403373,1.23408209562119,4.31029737158391e-14,4.31029737158391e-14,4.31029737158391e-14,7007.746192,1.00000000000004,2035.883225,0.000707833,7.457151,2.3621979859384,1,0.565749737,3
"4",4,0.235923214018564,0.417981275,0.997178402,0.965218501649547,0.0347814989690496,6.94974175478986e-14,0.142309607691279,0.400260806572726,6.94974175478986e-14,6.94974175478986e-14,6.94974175478986e-14,2291.819806,1.00000000000007,2037.960668,0.0000534,10.263639,1.54257041482005,1,0.579197127,2
"5",5,0.240697345711704,0.259443783,0.493902439,1,8.43826947972885e-14,8.43826947972885e-14,0.0951536729919234,1.80708619357865,0.303862433309392,8.43826947972885e-14,8.43826947972885e-14,3592.817672,1.30386243330939,2049.734668,0.0000229,6.160038333,3.20610230013311,1,0.234458656,1
"6",6,0.200913662190549,0.816621912,1.485821697,1.00000000043771,6.63195990352133e-14,6.63195990352133e-14,0.52271073738494,0.801468261758097,0.00535243907394857,6.63195990352133e-14,6.63195990352133e-14,3614.980907,1.00535243907395,3519.84298,0.000412234,7.5828175,2.32953143821699,1,0.669199785,2
"7",7,0.200357692451661,0.910782378,1.827771317,0.963550221214398,6.32314575889465e-14,0.036449778577001,0.26445214416575,0.497503380067632,6.32314575889465e-14,6.32314575889465e-14,6.32314575889465e-14,3217.696981,1.00000000000006,2678.42692,0.000374918,8.5788855,1.76195552435991,1,0.916988939,2
"8",8,0.140273090048744,0.894287639,1.355618777,0.758150541532007,0.195501486651516,0.0463479717922893,0.0750520514418369,0.893338946088884,0.0218616507601108,4.83740365716457e-14,4.83740365716457e-14,5039.065473,1.02186165076011,2376.389756,0.000586554,9.4470138,1.9902526485327,1,0.461331138,1
"9",9,0.207750545698677,0.740885619,1.224326371,0.638698535411492,0.337366704356906,0.023934760151501,0.402627441850145,1.0829156365718,0.0319852705983028,6.16161438768613e-14,6.16161438768613e-14,5717.04103,1.0319852705983,2112.308709,0.00054938,7.063326833,2.51752834908187,1,0.483440752,2
"10",10,0.188484352501429,0.243617958,0.520378521,0.988306909256936,0.0116930905290937,7.6445275486816e-14,0.0666666376429488,0.319880825423758,7.6445275486816e-14,7.6445275486816e-14,7.6445275486816e-14,2143.264252,1.00000000000008,2066.893342,0.0000255,9.2171142,1.38654746268456,1,0.276760563,1
